workers,grid,#snowmen,seconds,performance(pixels/s),speedup,ideal_speedup
1,1024,4,690.988,1517.502475,1.000000,1
2,1024,4,362.761,2890.542258,1.904802,2
4,1024,4,184.213,5692.193276,3.751027,4
8,1024,4,99.319,10557.657649,6.957259,8
12,1024,4,67.1,15627.064083,10.297884,12
16,1024,4,51.295,20442.070377,13.470865,16
24,1024,4,37.834,27715.176825,18.263678,24
32,1024,4,27.256,38471.382448,25.351776,32
48,1024,4,25.803,40637.755300,26.779367,48
64,1024,4,15.867,66085.334342,43.548749,64
96,1024,4,50.421,20796.414192,13.704369,96
