workers,grid,#snowmen,seconds,performance(pixels/s),efficiency,speedup
1,128,3,12.158,1347.590064,1.000000,1.000000
2,181,3,12.726,2574.336005,0.955367,1.910734
4,256,3,12.907,5077.554815,0.941969,3.767876
8,362,3,14.479,9050.625043,0.839699,6.717592
12,443,3,15.317,12812.495920,0.793759,9.525108
16,512,3,14.386,18222.160434,0.845127,13.522032
24,627,3,14.51,27093.659545,0.837905,20.109720
32,724,3,20.901,25078.991436,0.581695,18.614240
48,887,3,25.152,31280.574109,0.483381,23.202288
64,1024,3,16.308,64298.258523,0.745524,47.713536
96,1254,3,19.154,82098.569489,0.634750,60.936000
